magnitude,fixed_point,sigma_shift,max_output,rss_mb
1,2,0,0,76.671875
1,2,2,0,76.734375
1,2,4,0,76.75
1,3,0,0,76.765625
1,3,2,0,76.765625
1,3,4,0,76.859375
1,4,0,0,76.859375
1,4,2,0,76.859375
1,4,4,0,76.875
2,2,0,2,76.875
2,2,2,2,76.875
2,2,4,2,76.875
2,3,0,1,76.875
2,3,2,1,76.9375
2,3,4,1,76.9375
2,4,0,1,76.9375
2,4,2,0,76.9375
2,4,4,0,76.9375
4,2,0,9,76.9375
4,2,2,8,76.9375
4,2,4,8,76.9375
4,3,0,5,76.9375
4,3,2,4,76.9375
4,3,4,4,76.9375
4,4,0,4,76.9375
4,4,2,2,76.9375
4,4,4,2,76.9375
8,2,0,35,76.9375
8,2,2,32,76.9375
8,2,4,32,76.9375
8,3,0,19,76.9375
8,3,2,16,76.9375
8,3,4,16,76.9375
8,4,0,12,76.9375
8,4,2,9,76.9375
8,4,4,8,76.9375
16,2,0,127,76.9375
16,2,2,127,76.9375
16,2,4,127,77.015625
16,3,0,71,77.015625
16,3,2,65,77.015625
16,3,4,64,77.015625
16,4,0,41,77.015625
16,4,2,34,77.015625
16,4,4,32,77.015625
32,2,0,127,77.015625
32,2,2,127,77.015625
32,2,4,127,77.015625
32,3,0,127,77.015625
32,3,2,127,77.015625
32,3,4,127,77.015625
32,4,0,127,77.015625
32,4,2,127,77.015625
32,4,4,127,77.015625
