mode,pop,rank,sigma_shift,acc,loss,time_s,rss_mb,logit_mean,logit_std,logit_min,logit_max
eggroll,16,1,0,0.7572815418243408,0.8202182650566101,1.168974000000162,255.4375,-4.3982977867126465,24.64885902404785,-50.58015823364258,32.32109069824219
eggroll,16,1,2,0.8058252334594727,8.061189651489258,0.7222858749883017,255.5625,-32.29704666137695,51.46603012084961,-134.60586547851562,78.19867706298828
eggroll,16,1,4,0.6504854559898376,nan,0.7090622499963501,252.734375,2.4376895427703857,66.36387634277344,-175.20352172851562,102.58656311035156
eggroll,16,2,0,0.4757281541824341,0.6931471824645996,0.7142677920055576,249.9375,0.0,0.0,0.0,0.0
eggroll,16,2,2,0.4757281541824341,21.260135650634766,0.6860800830036169,249.96875,13.486034393310547,26.92145538330078,-32.45603942871094,87.35755157470703
eggroll,16,2,4,0.6407766938209534,nan,0.714108166997903,249.984375,2.05543851852417,40.57522964477539,-63.02838897705078,90.76232147216797
eggroll,32,1,0,0.5242718458175659,5.051506519317627,1.3731492500082823,251.046875,-3.9004225730895996,9.115191459655762,-26.020029067993164,9.469927787780762
eggroll,32,1,2,0.21359223127365112,nan,1.2389012499916134,251.140625,0.22414717078208923,62.00083541870117,-158.5985870361328,126.7579345703125
eggroll,32,1,4,0.737864077091217,5.250805377960205,1.2189172090002103,250.546875,17.117340087890625,30.117223739624023,-43.99774169921875,85.32007598876953
eggroll,32,2,0,0.4757281541824341,0.6931471824645996,1.1986728330084588,250.734375,0.0,0.0,0.0,0.0
eggroll,32,2,2,0.737864077091217,nan,1.2358574999962002,250.734375,6.324909210205078,48.5778923034668,-131.43035888671875,117.65864562988281
eggroll,32,2,4,0.8252426981925964,nan,1.2182875419966877,250.75,22.542390823364258,39.80644989013672,-46.593658447265625,117.63140106201172
eggroll,64,1,0,0.42718446254730225,25.008508682250977,2.370275292007136,252.25,-4.622490882873535,24.3175048828125,-61.84470748901367,50.21995544433594
eggroll,64,1,2,0.5242718458175659,10.892056465148926,2.423048333002953,252.78125,20.36618423461914,23.57666015625,-28.96773910522461,82.2569351196289
eggroll,64,1,4,0.7475728392601013,nan,2.2714431250060443,247.0,4.438868999481201,42.856143951416016,-75.20914459228516,116.98328399658203
eggroll,64,2,0,0.4757281541824341,0.6931471824645996,2.563098083002842,220.5,0.0,0.0,0.0,0.0
eggroll,64,2,2,0.42718446254730225,8.318601608276367,2.5181438329891535,220.546875,23.072147369384766,19.408405303955078,-8.274178504943848,87.43592834472656
eggroll,64,2,4,0.8349514603614807,nan,2.583446709002601,220.546875,-21.083951950073242,49.49570846557617,-140.0155792236328,117.81786346435547
full_es,16,1,0,0.4757281541824341,0.6931471824645996,0.7027534169901628,220.78125,0.0,0.0,0.0,0.0
full_es,16,1,2,0.4757281541824341,0.6931471824645996,0.7003721250075614,220.796875,0.0,0.0,0.0,0.0
full_es,16,1,4,0.4757281541824341,0.6931471824645996,0.6982437500118976,220.796875,0.0,0.0,0.0,0.0
full_es,16,2,0,0.4757281541824341,0.6931471824645996,0.7144158329901984,220.84375,0.0,0.0,0.0,0.0
full_es,16,2,2,0.4757281541824341,0.6931471824645996,0.6937574580078945,220.84375,0.0,0.0,0.0,0.0
full_es,16,2,4,0.4757281541824341,0.6931471824645996,0.6959275830013212,220.84375,0.0,0.0,0.0,0.0
full_es,32,1,0,0.4757281541824341,0.6931471824645996,1.3829248329857364,221.5,0.0,0.0,0.0,0.0
full_es,32,1,2,0.4757281541824341,0.6931471824645996,1.3685370000021067,221.5,0.0,0.0,0.0,0.0
full_es,32,1,4,0.4757281541824341,0.6931471824645996,1.358543333990383,221.5,0.0,0.0,0.0,0.0
full_es,32,2,0,0.4757281541824341,0.6931471824645996,1.3794256249966566,221.5,0.0,0.0,0.0,0.0
full_es,32,2,2,0.4757281541824341,0.6931471824645996,1.3815709159971448,221.5,0.0,0.0,0.0,0.0
full_es,32,2,4,0.4757281541824341,0.6931471824645996,1.3906320419919211,221.515625,0.0,0.0,0.0,0.0
full_es,64,1,0,0.4757281541824341,0.6931471824645996,2.811535917004221,224.078125,0.0,0.0,0.0,0.0
full_es,64,1,2,0.4757281541824341,0.6931471824645996,2.8024439580040053,226.125,0.0,0.0,0.0,0.0
full_es,64,1,4,0.4757281541824341,0.6931471824645996,2.838060583002516,226.125,0.0,0.0,0.0,0.0
full_es,64,2,0,0.4757281541824341,0.6931471824645996,3.0694668749929406,226.375,0.0,0.0,0.0,0.0
full_es,64,2,2,0.4757281541824341,0.6931471824645996,3.088135375001002,227.046875,0.0,0.0,0.0,0.0
full_es,64,2,4,0.4757281541824341,0.6931471824645996,3.0359463329950813,227.203125,0.0,0.0,0.0,0.0
